Titulo,Descripcion,URL_Imagen,URL_Noticia,Medio,Fecha
Bia Energy supera el medio billón y lidera una revolución silenciosa en el uso de energía,"En dos años y medio, Bia supera 500.000 millones en facturación y se consolida como actor que impulsa un uso más eficiente y competitivo de la energía en empresas.",https://revistaclevel.com/sites/default/files/styles/wide/public/Sebastia%CC%81n%20Ruales%20CEO%20Bia%20Energy.jpg?itok=RnUz2-EM,https://revistaclevel.com/bia-energy-supera-el-medio-billon-y-lidera-una-revolucion-silenciosa-en-el-uso-de-energia,Revista CLevel,Julio 2025
Bia Energy supera el medio billón y se posiciona entre las líderes del sector energético,"Bia cerrará 2025 con facturación superior al medio billón; más de 3.500 clientes (Miniso, Decathlon, KFC, etc.) migraron a su modelo digital.",https://lanotaeconomica.com.co/wp-content/uploads/elementor/thumbs/Sebastian-Ruales-CEO-r8j4kinsf68d0prc71n98lc3fkbwfhhify7k20fv5o.jpeg,https://lanotaeconomica.com.co/movidas-empresarial/bia-energy-supera-el-medio-billon-y-se-posiciona-entre-las-lideres-del-sector-energetico/,La Nota Económica,Julio 2025
La comercializadora colombiana de energía que atrajo la atención en la Bolsa de Nueva York,"Bia, comercializadora digital con foco en datos, ha llamado la atención internacional por su crecimiento y propuesta centrada en el usuario.",—,https://www.semana.com/empresas/articulo/la-comercializadora-colombiana-de-energia-que-atrajo-la-atencion-en-la-bolsa-de-nueva-york/2024319/,Semana,Julio 2025
La nueva forma de comercializar la energía ya opera en Colombia,"Especial sobre el modelo digital de Bia: medidores inteligentes, analítica de datos y respaldo de fondos climáticos e IDB Lab para escalar su propuesta.",https://imagenes.eltiempo.com/files/image_1200_535/uploads/2024/12/11/675a3440b02c6.jpeg,https://www.eltiempo.com/mas-contenido/la-nueva-forma-de-comercializar-la-energia-ya-opera-en-colombia-3408324,El Tiempo (Más Contenido),Diciembre 2024
Fondos de inversión especializados en clima respaldan a Bia Energy,"Bia aseguró US$8,5 millones liderados por RA Capital Planetary Health e IDB Lab para fortalecer producto y prepararse para una futura Serie B.",https://www.portafolio.co/files/article_new_multimedia/uploads/2024/12/10/6759151a117cd.jpeg,https://www.portafolio.co/mas-contenido/fondos-de-inversion-especializados-en-clima-respaldan-a-bia-energy-619357,Portafolio (Más Contenido),Diciembre 2024
"Colombiana Bia Energy levanta US$ 8,5 millones para la expansión de su negocio",Ronda estratégica para expansión: RA Capital Planetary Health e IDB Lab aportan capital; foco en tecnología y crecimiento en Colombia.,https://dfsud.com/dfsud/site/artic/20241127/imag/foto_0000000220241127154015/xWhatsApp_Image_2024-11-27_at_15.38.43.jpeg.pagespeed.ic.AEngLZWCKQ.webp,https://dfsud.com/colombia/colombiana-bia-energy-levanta-us-8-5-millones-para-la-expansion-de-su,DF SUD,Noviembre 2024
BBVA Spark impulsa eficiencia energética de Bia Energy con 10 millones de dólares,BBVA Spark respalda a Bia con línea por US$10 millones para fortalecer operaciones y su plataforma de comercialización digital de energía.,https://www.portafolio.co/files/article_new_multimedia/uploads/2024/08/29/66d08ca691dac.png,https://www.portafolio.co/energia/bbva-spark-impulsa-eficiencia-energetica-de-bia-energy-con-una-linea-por-us-10-millones-612213,Portafolio,Agosto 2024
Consumo de energía de restaurantes se disparó hasta 4% durante partidos de Copa América,Datos de Bia muestran que en 68 restaurantes el consumo aumentó hasta 4% durante juegos de la Copa América por mayor uso de equipos.,https://www.portafolio.co/files/article_new_multimedia/uploads/2024/06/19/66735f979856c.jpeg,https://www.portafolio.co/energia/consumo-de-energia-de-restaurantes-se-disparo-hasta-4-durante-partidos-de-copa-america-608476,Portafolio,Julio 2024
"La comercializadora de energía que trabaja con KFC, Miniso y Pepe Ganga",Entrevista sobre el crecimiento de Bia con grandes marcas y cómo su analítica y tecnología reportan ahorros de hasta 18% a clientes.,https://www.portafolio.co/files/article_new_multimedia/uploads/2024/05/31/665a1222069e9.jpeg,https://www.portafolio.co/energia/bia-energy-la-comercializadora-que-trabaja-con-kfc-miniso-y-pepe-gang-605860,Portafolio,Junio 2024
Bia Energy: el nuevo proveedor de energía,"Bia anuncia su llegada a la Costa Caribe con una propuesta enfocada en control del consumo, ahorro y medidores inteligentes para empresas.",—,https://www.elheraldo.co/contenidos-en-alianza/2024/02/07/bia-energy-el-nuevo-proveedor-de-energia/,El Heraldo,Febrero 2024
